,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
1320,Maruti,DELTA CVT PETROL 1.2,556000,2016,Delhi,Petrol,13027,Automatic,2,10870
1321,Honda,1.2L I-VTEC VX,370000,2015,Delhi,Petrol,97135,Manual,2,7234
1322,Hyundai,MAGNA 1.2 KAPPA VTVT CNG,639000,2021,Delhi,CNG,50380,Manual,1,12493
1323,Honda,1.5L I-VTEC S MT,407000,2013,Delhi,Petrol,77884,Manual,1,7957
1324,Honda,1.2L I-VTEC V CVT,703000,2018,Delhi,Petrol,21319,Automatic,1,13744
1325,KIA,GTX PLUS 1.4 PETROL DCT DUAL TONE,1316000,2019,Delhi,Petrol,70843,Automatic,1,25049
1326,Tata,XT PETROL,537000,2021,Delhi,Petrol,13447,Manual,2,10498
1327,Maruti,ZXI+,612000,2016,Delhi,Petrol,60162,Manual,2,11965
1328,Renault,RXL 1.0,347000,2018,Delhi,Petrol,41437,Manual,2,6784
1329,Hyundai,GLS,154000,2011,Delhi,Petrol,73091,Manual,2,3011
1330,Maruti,DELTA PETROL 1.2,544000,2016,Delhi,Petrol,30092,Manual,1,10635
1331,Renault,110 PS RXZ 4X4 MT DIESEL,1009000,2019,Delhi,Diesel,35331,Manual,1,19205
1332,Hyundai,SPORTZ 1.2 KAPPA VTVT,404000,2017,Delhi,Petrol,81893,Manual,1,7898
1333,Honda,1.2 i-VTEC VX MT,710000,2018,Delhi,Petrol,12724,Manual,2,13881
1334,Honda,S MT,346000,2015,Delhi,Petrol,28460,Manual,1,6764
1335,Hyundai,SPORTZ 1.2,577000,2017,Delhi,Petrol,34803,Manual,1,11280
1336,Maruti,LXI,239000,2016,Delhi,Petrol,45518,Manual,1,4672
1337,Honda,1.2L I-VTEC V AT,471000,2015,Delhi,Petrol,72407,Automatic,1,9208
1338,Maruti,DELTA CVT PETROL 1.2,505000,2016,Delhi,Petrol,50090,Automatic,1,9873
1339,Maruti,LXI,197000,2011,Delhi,Petrol,60784,Manual,1,3851
1340,Hyundai,MAGNA 1.2,533000,2016,Delhi,Petrol,29951,Manual,1,10420
1341,Volkswagen,HIGHLINE PLUS AT MATT EDITION,1169000,2021,Delhi,Petrol,21449,Automatic,1,22251
1342,Tata,XE 1.2 REVOTRON,521000,2021,Delhi,Petrol,19811,Manual,1,10186
1343,Tata,XZ PLUS (HS) PETROL,1096000,2022,Delhi,Petrol,10141,Manual,1,20861
1344,Maruti,ALPHA DIESEL 1.3,611000,2018,Delhi,Diesel,89202,Manual,2,11945
1345,Maruti,VXI,584000,2018,Delhi,Petrol,48368,Manual,3,11417
